record_id,clip_name,location,content_status,duration_seconds,fps,loop,humanoid,driver_reference,semantic_family,candidate_context,assignment_confidence,required_validation
24,Jump Over,Assets/Animations/Mixamo,Imported; project-root archive exact match,2.267,30,no,yes,no,Vault,"Low or medium rooftop obstacle such as an HVAC unit when top and exit are clear",high,"Annotate obstacle-height range; hand/foot contacts; root travel; landing foot"
25,Jumping (1),Assets/Animations/Mixamo,Imported; project-root archive exact match,1.167,30,no,yes,no,Takeoff/jump,"Unassigned compact jump variation",low,"Visually distinguish from Jumping and annotate trajectory"
26,Jumping (2),Assets/Animations/Mixamo,Imported; project-root archive exact match,1.200,30,no,yes,no,Takeoff/jump,"Unassigned compact jump variation",low,"Visually distinguish from Jumping and annotate trajectory"
27,Jumping (3),Assets/Animations/Mixamo,Imported; project-root archive exact match,2.100,30,no,yes,no,Takeoff/jump,"Unassigned longer jump variation",low,"Visually distinguish; determine whether it includes landing"
28,Jumping To Hanging,Assets/Animations/Mixamo,Imported; Downloads exact duplicate,1.500,30,no,yes,no,Ledge catch,"Reachable ledge catch when hands can acquire a stable edge",high,"Annotate hand-contact frame; required ledge height; hang exit is missing"
29,Jumping,Assets/Animations/Mixamo,Imported; project-root archive exact match,1.167,30,no,yes,yes,Takeoff/jump,"Standing or low-speed short jump",high,"Annotate takeoff and safe blend-to-fall frame"
30,Left Strafe Walking,Assets/Animations/Mixamo,Imported; Downloads exact duplicate,1.033,30,yes,yes,yes,Locomotion,"Grounded left lateral movement",high,"Confirm phase and speed calibration; allow slope IK"
31,Low Crawl,Assets/Animations/Mixamo,Imported; project-root archive exact match,2.333,30,no,yes,no,Low clearance,"Enter or exit a low-clearance static crawl",medium,"Determine whether clip is locomotion or transition; measure required headroom"
32,Male Crouch Pose,Assets/Animations/Mixamo,Imported; Downloads exact duplicate,0.033,30,yes,yes,yes,Pose,"Crouch reference pose only",high,"One-frame pose; never treat as a locomotion loop"
33,Quick Roll To Run,Assets/Animations/Mixamo,Imported; project-root archive exact match,1.400,30,no,yes,yes,Landing/recovery,"Fast forward landing recovery with continuing run intent",high,"Measure roll corridor and pose-match into Running"
34,Right Strafe Walking,Assets/Animations/Mixamo,Imported; Downloads exact duplicate,1.033,30,yes,yes,yes,Locomotion,"Grounded right lateral movement",high,"Confirm phase and speed calibration; allow slope IK"
35,Run To Flip,Assets/Animations/Mixamo,Imported; project-root archive exact match,2.233,30,no,yes,yes,Running jump/trick,"Longer running gap or lower destination with sufficient airtime",high,"Annotate takeoff; rotation completion; final recovery tail"
36,Run To Rolling,Assets/Animations/Mixamo,Imported; project-root archive exact match; Downloads has distinct larger revision,2.433,30,no,yes,yes,Landing/roll,"High-energy forward landing when a clear roll corridor exists",high,"Measure root travel; contact timing; pose-match to run or idle; compare Downloads revision"
37,Running Crawl,Assets/Animations/Mixamo,Imported; Downloads exact duplicate,0.667,30,yes,yes,no,Low-clearance locomotion,"Maintain speed beneath a long low obstruction",medium,"Measure minimum headroom and speed; needs enter/exit transitions"
38,Running Forward Flip,Assets/Animations/Mixamo,Imported; project-root archive exact match; Downloads same-labeled file is byte-different,1.100,30,no,yes,yes,Running jump/trick,"Compact forward flip for a running gap or low obstacle with a clear landing",high,"Compare the unimported Downloads motion curves before choosing canonical source"
39,Running Jump,Assets/Animations/Mixamo,Imported; Downloads exact duplicate,0.900,30,no,yes,yes,Takeoff/jump,"Running takeoff before a short gap or transition into an aerial phase",high,"Annotate takeoff foot; safe exit; authored travel"
40,Running,Assets/Animations/Mixamo,Imported; Downloads exact duplicate,0.633,30,yes,yes,yes,Locomotion,"Primary forward ground locomotion",high,"Calibrate playback/stride warping to motor speed"
41,Spin Flip Kick,Assets/Animations/Mixamo,Imported; project-root archive exact match,3.700,30,no,yes,no,Combat,"Combat finisher only",high,"Exclude from autonomous traversal"
42,Standing Using Touchscreen Tablet,Assets/Animations/Mixamo,Imported; project-root archive exact match,33.133,30,no,yes,yes,Emote,"Optional very-long-airtime flourish only after selecting and annotating a safe internal segment",medium,"Standing body mechanics make it unsuitable near surfaces; annotate excerpt boundaries"
43,Start Swinging,Assets/Animations/Mixamo,Imported; project-root archive exact match,2.033,30,yes,yes,no,Swing,"Web-swing entry only after a real line and swing arc exist",high,"Loop flag is suspicious for an entry clip; inspect seam and web-hand contact"
44,Start Walking,Assets/Animations/Mixamo,Imported; Downloads exact duplicate,2.933,30,no,yes,no,Locomotion transition,"Idle-to-walk start when low latency permits",medium,"Long duration may fight input responsiveness; annotate earliest cancel window"
45,Stylish Flip,Assets/Animations/Mixamo,Imported; project-root archive exact match,2.133,30,no,yes,no,Aerial/swing-like trick,"Optional authored trick only if visual review confirms it is not a web-hang pose",low,"Previously observed overhead hang silhouette; keep out of generic jump selection"
46,Swing Into Wall,Assets/Animations/Mixamo,Imported; project-root archive exact match,3.033,30,no,yes,no,Swing/wall,"Swing-specific wall arrival with a valid web-line state",high,"Do not use for ordinary building collision; annotate wall contact and exit"
47,Swing To Land (1),Assets/Animations/Mixamo,Imported; project-root archive exact match,1.867,30,no,yes,no,Swing landing,"Swing-specific landing variant selected by approach metrics",medium,"Identify approach direction; contact; exit pose"
48,Swing To Land (2),Assets/Animations/Mixamo,Imported; project-root archive exact match,2.033,30,no,yes,no,Swing landing,"Swing-specific landing variant selected by approach metrics",medium,"Identify approach direction; contact; exit pose"
49,Swing To Land (3),Assets/Animations/Mixamo,Imported; project-root archive exact match,1.867,30,no,yes,no,Swing landing,"Swing-specific landing variant selected by approach metrics",medium,"Identify approach direction; contact; exit pose"
50,Swing To Land,Assets/Animations/Mixamo,Imported; project-root archive exact match,2.167,30,no,yes,no,Swing landing,"Swing-specific default landing",medium,"Do not use outside swing context; annotate full landing phases"
51,Swinging (1),Assets/Animations/Mixamo,Imported; project-root archive exact match,1.967,30,yes,yes,no,Swing loop,"Alternate web-swing body cycle driven by swing-arc phase",high,"Requires actual line/arc simulation and hand alignment partials"
52,Swinging,Assets/Animations/Mixamo,Imported; project-root archive exact match,2.433,30,yes,yes,no,Swing loop,"Primary web-swing body cycle driven by swing-arc phase",high,"Requires actual line/arc simulation and hand alignment partials"
53,Walk Backward,Assets/Animations/Mixamo,Imported; Downloads exact duplicate,1.233,30,yes,yes,yes,Locomotion,"Grounded backward movement",high,"Calibrate speed and foot phase"
54,Walking Left Turn,Assets/Animations/Mixamo,Imported; Downloads exact duplicate,1.200,30,yes,yes,yes,Locomotion turn,"Low-speed left arc",medium,"Annotate turn angle and mirror policy"
55,Walking Turn 180,Assets/Animations/Mixamo,Imported; Downloads exact duplicate,1.000,30,yes,yes,no,Locomotion turn,"Sharp grounded reversal when speed is low enough",medium,"Loop flag conflicts with one-shot semantics; inspect and correct only during a future build"
56,Walking,Assets/Animations/Mixamo,Imported; Downloads exact duplicate,1.033,30,yes,yes,yes,Locomotion,"Low-speed forward movement",high,"Calibrate playback/stride warping to motor speed"
57,Wall Crash,Assets/Animations/Mixamo,Imported; project-root archive exact match,2.467,30,no,yes,no,Wall impact,"Direct high-incidence building collision when redirect or vault is impossible",high,"Annotate impact frame; wall normal alignment; recovery; required stopping distance"
58,Wall Run,Assets/Animations/Mixamo,Imported; project-root archive exact match,2.100,30,no,yes,no,Wall traversal,"Vertical or horizontal wall-run candidate based on wall normal input and momentum",medium,"Determine authored direction; loopability; entry/exit pose and wall-foot contacts"
59,Running Forward Flip (Downloads version),/Users/agarwal/Downloads/X Bot@Running Forward Flip.fbx,Not imported; distinct SHA-256 with same 375280-byte size; motion difference unverified,unknown,unknown,unknown,unknown,no,Running jump/trick,"Candidate replacement or alternate for the imported Running Forward Flip",low,"Import into a quarantine comparison folder in a future authorized build; compare duration poses contacts and root curves"
60,Run To Rolling (Downloads version),/Users/agarwal/Downloads/Run To Rolling.fbx,Not imported; distinct SHA-256 and 2012720-byte size; motion difference unverified,unknown,unknown,unknown,unknown,no,Landing/roll,"Candidate replacement or alternate for the imported Run To Rolling",low,"Newly detected during final recursive scan; larger FBX may include character data; quarantine-compare in a future authorized build"
